#OTU ID	Blank2	Blank3	NTC1	NTC2	R1	R10	R11	R12	R13	R14	R15	R16	R2	R3	R4	R5	R6	R7	R8	R9	taxonomy
b1e12a33959dc5ef0160433d21f0a1c1	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4334;s__UBA4334 sp017448965
12fb2c12e2c648bb49883860133ba719	0	0	0	0	0	21	0	0	0	26	0	0	0	0	0	0	0	0	0	29	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Proteiniclasticum
0b262e6ef774890145b0274761743b1a	0	0	0	0	0	0	0	0	33	0	0	0	0	24	19	0	0	0	0	0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__RFP12;f__UBA1067;g__RGIG6996;s__RGIG6996 sp017450695
4cb72111c0273b386efee0255b20d124	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	10	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp022779485
22c80252241be21464b1f97582420de2	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola intestinalis
e3ed7c89fe98b1c3ddb53fd50ce6d42c	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	20	41	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella
91fff08e899fd2830a5cd5576aefb508	0	0	0	0	22	24	0	0	0	29	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
1a2c609b95f2b3c44185e279fef68b9c	0	0	0	0	12	6	0	21	0	0	11	0	0	0	0	0	0	18	0	7	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp016284885
e6bb2720bd50c8db8ef7a4658c4ec883	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	36	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae
9b3333de37e5f51db4d5e89662f89b66	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Bact-11;s__Bact-11 sp902778855
7aef6adbac87127a4ef4f961357617ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	55	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Acetivibrionales
9e8a48252c3356e6e9bb7ed27786ed36	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UBA9715;s__UBA9715 sp902788545
03644dd5279350986517c76a0f290b92	0	0	0	0	0	5	38	20	0	5	0	0	0	0	0	0	0	0	0	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900318955
42a41a9d1856cc221bbdedaef4f628bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	57	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__Petrimonas sp002356435
